episode,reward
1,9.0
2,23.0
3,27.0
4,29.0
5,8.0
6,21.0
7,19.0
8,17.0
9,13.0
10,17.0
11,32.0
12,33.0
13,17.0
14,19.0
15,31.0
16,17.0
17,15.0
18,46.0
19,15.0
20,13.0
21,33.0
22,30.0
23,17.0
24,10.0
25,12.0
26,25.0
27,29.0
28,17.0
29,76.0
30,15.0
31,20.0
32,12.0
33,15.0
34,14.0
35,15.0
36,42.0
37,21.0
38,24.0
39,31.0
40,65.0
41,27.0
42,13.0
43,43.0
44,35.0
45,20.0
46,17.0
47,44.0
48,78.0
49,40.0
50,43.0
51,41.0
52,17.0
53,13.0
54,83.0
55,25.0
56,30.0
57,12.0
58,57.0
59,11.0
60,17.0
61,42.0
62,57.0
63,81.0
64,68.0
65,62.0
66,31.0
67,48.0
68,29.0
69,27.0
70,13.0
71,13.0
72,29.0
73,17.0
74,22.0
75,51.0
76,55.0
77,22.0
78,37.0
79,16.0
80,59.0
81,78.0
82,44.0
83,12.0
84,19.0
85,15.0
86,38.0
87,19.0
88,19.0
89,17.0
90,122.0
91,16.0
92,45.0
93,25.0
94,87.0
95,18.0
96,22.0
97,114.0
98,18.0
99,144.0
100,14.0
