episode,reward
1,8.0
2,35.0
3,53.0
4,26.0
5,16.0
6,13.0
7,20.0
8,23.0
9,34.0
10,13.0
11,15.0
12,11.0
13,22.0
14,40.0
15,23.0
16,22.0
17,26.0
18,13.0
19,26.0
20,10.0
21,32.0
22,18.0
23,52.0
24,29.0
25,25.0
26,73.0
27,16.0
28,18.0
29,19.0
30,10.0
31,20.0
32,20.0
33,25.0
34,28.0
35,39.0
36,46.0
37,31.0
38,24.0
39,18.0
40,46.0
41,13.0
42,29.0
43,14.0
44,10.0
45,20.0
46,36.0
47,24.0
48,26.0
49,12.0
50,104.0
51,27.0
52,27.0
53,60.0
54,32.0
55,37.0
56,15.0
57,23.0
58,45.0
59,114.0
60,45.0
61,61.0
62,66.0
63,38.0
64,48.0
65,55.0
66,30.0
67,32.0
68,84.0
69,52.0
70,41.0
71,46.0
72,33.0
73,44.0
74,23.0
75,26.0
76,82.0
77,39.0
78,98.0
79,47.0
80,28.0
81,34.0
82,115.0
83,31.0
84,19.0
85,27.0
86,18.0
87,43.0
88,26.0
89,76.0
90,76.0
91,69.0
92,14.0
93,20.0
94,46.0
95,72.0
96,105.0
97,73.0
98,23.0
99,32.0
100,76.0
