episode,reward
1,9.0
2,14.0
3,19.0
4,22.0
5,11.0
6,20.0
7,26.0
8,16.0
9,11.0
10,25.0
11,24.0
12,29.0
13,28.0
14,17.0
15,26.0
16,20.0
17,16.0
18,19.0
19,19.0
20,11.0
21,14.0
22,27.0
23,26.0
24,37.0
25,9.0
26,28.0
27,19.0
28,36.0
29,20.0
30,11.0
31,14.0
32,15.0
33,31.0
34,15.0
35,27.0
36,38.0
37,11.0
38,36.0
39,17.0
40,18.0
41,14.0
42,16.0
43,45.0
44,13.0
45,28.0
46,30.0
47,18.0
48,33.0
49,33.0
50,17.0
51,33.0
52,17.0
53,96.0
54,35.0
55,72.0
56,23.0
57,27.0
58,13.0
59,38.0
60,24.0
61,24.0
62,53.0
63,14.0
64,34.0
65,15.0
66,11.0
67,31.0
68,11.0
69,10.0
70,20.0
71,17.0
72,14.0
73,97.0
74,22.0
75,27.0
76,16.0
77,52.0
78,38.0
79,24.0
80,61.0
81,37.0
82,29.0
83,91.0
84,36.0
85,25.0
86,30.0
87,84.0
88,64.0
89,29.0
90,42.0
91,12.0
92,31.0
93,48.0
94,11.0
95,48.0
96,31.0
97,66.0
98,88.0
99,47.0
100,26.0
