episode,reward
1,9.0
2,44.0
3,32.0
4,17.0
5,24.0
6,13.0
7,16.0
8,11.0
9,17.0
10,21.0
11,60.0
12,20.0
13,50.0
14,25.0
15,33.0
16,18.0
17,13.0
18,30.0
19,19.0
20,17.0
21,32.0
22,11.0
23,34.0
24,18.0
25,107.0
26,61.0
27,31.0
28,74.0
29,41.0
30,25.0
31,11.0
32,35.0
33,13.0
34,21.0
35,25.0
36,64.0
37,15.0
38,90.0
39,17.0
40,20.0
41,56.0
42,40.0
43,32.0
44,35.0
45,12.0
46,15.0
47,17.0
48,50.0
49,80.0
50,45.0
51,9.0
52,51.0
53,45.0
54,69.0
55,34.0
56,12.0
57,78.0
58,61.0
59,20.0
60,73.0
61,110.0
62,10.0
63,16.0
64,90.0
65,14.0
66,85.0
67,112.0
68,45.0
69,21.0
70,62.0
71,20.0
72,22.0
73,58.0
74,44.0
75,31.0
76,114.0
77,49.0
78,32.0
79,64.0
80,59.0
81,153.0
82,92.0
83,36.0
84,96.0
85,45.0
86,35.0
87,20.0
88,35.0
89,41.0
90,28.0
91,72.0
92,50.0
93,77.0
94,81.0
95,118.0
96,28.0
97,163.0
98,72.0
99,110.0
100,158.0
