episode,reward
1,10.0
2,44.0
3,20.0
4,21.0
5,15.0
6,34.0
7,10.0
8,20.0
9,33.0
10,10.0
11,35.0
12,19.0
13,19.0
14,15.0
15,11.0
16,26.0
17,22.0
18,10.0
19,31.0
20,10.0
21,13.0
22,11.0
23,11.0
24,26.0
25,22.0
26,76.0
27,14.0
28,71.0
29,32.0
30,38.0
31,17.0
32,41.0
33,45.0
34,77.0
35,28.0
36,22.0
37,39.0
38,70.0
39,16.0
40,17.0
41,73.0
42,28.0
43,20.0
44,47.0
45,60.0
46,33.0
47,34.0
48,19.0
49,10.0
50,12.0
51,108.0
52,42.0
53,23.0
54,91.0
55,19.0
56,69.0
57,18.0
58,139.0
59,37.0
60,27.0
61,25.0
62,73.0
63,73.0
64,104.0
65,43.0
66,86.0
67,196.0
68,45.0
69,31.0
70,15.0
71,45.0
72,52.0
73,98.0
74,160.0
75,122.0
76,76.0
77,103.0
78,39.0
79,59.0
80,47.0
81,20.0
82,64.0
83,10.0
84,36.0
85,83.0
86,109.0
87,141.0
88,248.0
89,30.0
90,84.0
91,33.0
92,106.0
93,11.0
94,136.0
95,27.0
96,89.0
97,35.0
98,167.0
99,165.0
100,93.0
