episode,reward
1,8.0
2,22.0
3,18.0
4,14.0
5,32.0
6,31.0
7,14.0
8,17.0
9,13.0
10,12.0
11,14.0
12,22.0
13,18.0
14,14.0
15,14.0
16,14.0
17,17.0
18,12.0
19,9.0
20,27.0
21,8.0
22,18.0
23,20.0
24,14.0
25,13.0
26,29.0
27,10.0
28,12.0
29,20.0
30,14.0
31,28.0
32,15.0
33,17.0
34,21.0
35,23.0
36,14.0
37,30.0
38,13.0
39,24.0
40,17.0
41,14.0
42,17.0
43,35.0
44,76.0
45,20.0
46,15.0
47,18.0
48,18.0
49,15.0
50,15.0
51,57.0
52,50.0
53,58.0
54,23.0
55,75.0
56,109.0
57,57.0
58,72.0
59,25.0
60,93.0
61,25.0
62,13.0
63,39.0
64,45.0
65,24.0
66,11.0
67,80.0
68,32.0
69,15.0
70,27.0
71,48.0
72,40.0
73,28.0
74,33.0
75,23.0
76,39.0
77,53.0
78,22.0
79,78.0
80,15.0
81,62.0
82,22.0
83,42.0
84,64.0
85,72.0
86,32.0
87,66.0
88,34.0
89,128.0
90,48.0
91,14.0
92,17.0
93,100.0
94,13.0
95,19.0
96,18.0
97,31.0
98,68.0
99,33.0
100,133.0
