episode,reward
1,32.0
2,43.0
3,39.0
4,10.0
5,12.0
6,34.0
7,17.0
8,44.0
9,12.0
10,8.0
11,16.0
12,16.0
13,34.0
14,37.0
15,26.0
16,15.0
17,52.0
18,38.0
19,14.0
20,9.0
21,14.0
22,8.0
23,24.0
24,16.0
25,14.0
26,24.0
27,14.0
28,10.0
29,17.0
30,44.0
31,15.0
32,67.0
33,39.0
34,118.0
35,71.0
36,41.0
37,61.0
38,20.0
39,15.0
40,39.0
41,33.0
42,17.0
43,108.0
44,108.0
45,73.0
46,35.0
47,100.0
48,26.0
49,35.0
50,13.0
51,76.0
52,47.0
53,108.0
54,57.0
55,114.0
56,75.0
57,33.0
58,23.0
59,161.0
60,70.0
61,13.0
62,17.0
63,52.0
64,62.0
65,19.0
66,159.0
67,84.0
68,116.0
69,47.0
70,184.0
71,11.0
72,128.0
73,17.0
74,225.0
75,186.0
76,98.0
77,105.0
78,70.0
79,48.0
80,41.0
81,74.0
82,65.0
83,154.0
84,36.0
85,98.0
86,105.0
87,89.0
88,127.0
89,50.0
90,85.0
91,151.0
92,158.0
93,124.0
94,179.0
95,279.0
96,160.0
97,19.0
98,39.0
99,34.0
100,221.0
