episode,reward
1,10.0
2,24.0
3,43.0
4,16.0
5,9.0
6,15.0
7,16.0
8,16.0
9,24.0
10,30.0
11,21.0
12,23.0
13,10.0
14,13.0
15,28.0
16,16.0
17,34.0
18,20.0
19,20.0
20,12.0
21,23.0
22,27.0
23,41.0
24,18.0
25,22.0
26,21.0
27,41.0
28,37.0
29,24.0
30,20.0
31,38.0
32,36.0
33,18.0
34,14.0
35,44.0
36,25.0
37,21.0
38,39.0
39,33.0
40,22.0
41,33.0
42,28.0
43,20.0
44,38.0
45,104.0
46,21.0
47,29.0
48,77.0
49,37.0
50,24.0
51,50.0
52,78.0
53,52.0
54,55.0
55,34.0
56,8.0
57,25.0
58,28.0
59,39.0
60,97.0
61,124.0
62,41.0
63,38.0
64,85.0
65,56.0
66,10.0
67,33.0
68,92.0
69,96.0
70,120.0
71,47.0
72,82.0
73,10.0
74,14.0
75,44.0
76,115.0
77,100.0
78,119.0
79,128.0
80,163.0
81,122.0
82,30.0
83,84.0
84,88.0
85,141.0
86,197.0
87,90.0
88,221.0
89,43.0
90,200.0
91,54.0
92,13.0
93,178.0
94,139.0
95,94.0
96,67.0
97,133.0
98,50.0
99,178.0
100,180.0
