episode,reward
1,10.0
2,52.0
3,23.0
4,20.0
5,13.0
6,17.0
7,14.0
8,16.0
9,39.0
10,18.0
11,38.0
12,21.0
13,49.0
14,10.0
15,27.0
16,46.0
17,34.0
18,61.0
19,13.0
20,11.0
21,25.0
22,16.0
23,11.0
24,13.0
25,17.0
26,13.0
27,16.0
28,37.0
29,74.0
30,32.0
31,9.0
32,15.0
33,32.0
34,81.0
35,40.0
36,15.0
37,14.0
38,67.0
39,88.0
40,105.0
41,20.0
42,15.0
43,22.0
44,14.0
45,97.0
46,69.0
47,126.0
48,11.0
49,61.0
50,37.0
51,107.0
52,126.0
53,73.0
54,47.0
55,17.0
56,87.0
57,21.0
58,60.0
59,107.0
60,19.0
61,142.0
62,63.0
63,56.0
64,53.0
65,135.0
66,159.0
67,12.0
68,53.0
69,215.0
70,17.0
71,27.0
72,115.0
73,58.0
74,15.0
75,117.0
76,73.0
77,44.0
78,75.0
79,46.0
80,179.0
81,15.0
82,303.0
83,90.0
84,167.0
85,125.0
86,125.0
87,38.0
88,42.0
89,74.0
90,73.0
91,99.0
92,51.0
93,118.0
94,66.0
95,112.0
96,29.0
97,109.0
98,19.0
99,132.0
100,126.0
