episode,reward
1,11.0
2,23.0
3,30.0
4,13.0
5,15.0
6,18.0
7,16.0
8,11.0
9,12.0
10,15.0
11,21.0
12,15.0
13,16.0
14,14.0
15,17.0
16,9.0
17,12.0
18,41.0
19,15.0
20,29.0
21,14.0
22,21.0
23,15.0
24,13.0
25,15.0
26,12.0
27,9.0
28,21.0
29,11.0
30,24.0
31,52.0
32,19.0
33,17.0
34,13.0
35,15.0
36,33.0
37,23.0
38,11.0
39,10.0
40,11.0
41,24.0
42,68.0
43,9.0
44,77.0
45,21.0
46,33.0
47,18.0
48,10.0
49,28.0
50,32.0
51,29.0
52,16.0
53,27.0
54,25.0
55,22.0
56,37.0
57,14.0
58,10.0
59,37.0
60,16.0
61,52.0
62,29.0
63,30.0
64,28.0
65,38.0
66,13.0
67,33.0
68,23.0
69,12.0
70,60.0
71,14.0
72,41.0
73,8.0
74,13.0
75,17.0
76,72.0
77,93.0
78,16.0
79,17.0
80,60.0
81,23.0
82,30.0
83,17.0
84,13.0
85,21.0
86,13.0
87,41.0
88,39.0
89,17.0
90,40.0
91,20.0
92,32.0
93,25.0
94,15.0
95,31.0
96,97.0
97,38.0
98,65.0
99,37.0
100,25.0
